Time,system.u,system.x,system.y
0,1,2,6.1
0.06,1,2.02912,6.18736
0.12,1,2.05657,6.2697
0.18,1,2.08242,6.34726
0.24,1,2.10677,6.4203
0.3,1,2.1297,6.48909
0.36,1,2.15128,6.55384
0.42,1,2.17159,6.61478
0.48,1,2.19071,6.67214
0.54,1,2.20872,6.72616
0.6,1,2.22567,6.77702
0.66,1,2.24164,6.82492
0.72,1,2.25668,6.87004
0.78,1,2.27084,6.91253
0.84,1,2.28418,6.95255
0.9,1,2.29675,6.99025
0.96,1,2.30858,7.02575
1.02,1,2.31973,7.0592
1.08,1,2.33024,7.09071
1.14,1,2.34013,7.12039
1.2,1,2.34945,7.14836
1.26,1,2.35823,7.1747
1.32,1,2.3665,7.19951
1.38,1,2.37428,7.22285
1.44,1,2.38161,7.24483
1.5,1,2.38852,7.26555
1.56,1,2.39502,7.28506
1.62,1,2.40114,7.30342
1.68,1,2.4069,7.32071
1.74,1,2.41233,7.337
1.8,1,2.41744,7.35233
1.86,1,2.42226,7.36677
1.92,1,2.42679,7.38036
1.98,1,2.43106,7.39317
2.04,1,2.43508,7.40522
2.1,1,2.43886,7.41658
2.16,1,2.44242,7.42726
2.22,1,2.44578,7.43734
2.28,1,2.44894,7.44682
2.34,1,2.45192,7.45575
2.4,1,2.45472,7.46415
2.46,1,2.45736,7.47207
2.52,1,2.45984,7.47953
2.58,1,2.46218,7.48655
2.64,1,2.46438,7.49315
2.7,1,2.46646,7.49937
2.76,1,2.46841,7.50523
2.82,1,2.47025,7.51075
2.88,1,2.47198,7.51594
2.94,1,2.47361,7.52082
3,1,2.47514,7.52542
3.06,1,2.47659,7.52976
3.12,1,2.47795,7.53385
3.18,1,2.47923,7.53769
3.24,1,2.48043,7.5413
3.3,1,2.48157,7.5447
3.36,1,2.48263,7.5479
3.42,1,2.48364,7.55091
3.48,1,2.48458,7.55374
3.54,1,2.48547,7.5564
3.6,1,2.48631,7.55892
3.66,1,2.48709,7.56128
3.72,1,2.48783,7.5635
3.78,1,2.48853,7.56559
3.84,1,2.48919,7.56756
3.9,1,2.48981,7.56942
3.96,1,2.49039,7.57118
4.02,1,2.49095,7.57284
4.08,1,2.49147,7.57441
4.14,1,2.49196,7.57588
4.2,1,2.49242,7.57727
4.26,1,2.49286,7.57857
4.32,1,2.49327,7.57981
4.38,1,2.49366,7.58098
4.44,1,2.49403,7.58208
4.5,1,2.49437,7.58312
4.56,1,2.4947,7.5841
4.62,1,2.49501,7.58502
4.68,1,2.4953,7.58589
4.74,1,2.49557,7.58672
4.8,1,2.49583,7.58749
4.86,1,2.49607,7.58822
4.92,1,2.4963,7.5889
4.98,1,2.49652,7.58955
5.04,1,2.49672,7.59016
5.1,1,2.49691,7.59073
5.16,1,2.49709,7.59127
5.22,1,2.49726,7.59178
5.28,1,2.49742,7.59226
5.34,1,2.49757,7.59271
5.4,1,2.49771,7.59313
5.46,1,2.49784,7.59353
5.52,1,2.49797,7.59391
5.58,1,2.49809,7.59427
5.64,1,2.4982,7.59461
5.7,1,2.49831,7.59493
5.76,1,2.49841,7.59523
5.82,1,2.49851,7.59552
5.88,1,2.4986,7.59579
5.94,1,2.49868,7.59605
6,1,2.49877,7.5963
6.06,1,2.49885,7.59654
6.12,1,2.49892,7.59676
6.18,1,2.49899,7.59696
6.24,1,2.49905,7.59716
6.3,1,2.49912,7.59735
6.36,1,2.49917,7.59752
6.42,1,2.49923,7.59768
6.48,1,2.49928,7.59783
6.54,1,2.49932,7.59797
6.6,1,2.49937,7.5981
6.66,1,2.4994,7.59821
6.72,1,2.49944,7.59833
6.78,1,2.49948,7.59844
6.84,1,2.49952,7.59855
6.9,1,2.49955,7.59865
6.96,1,2.49958,7.59874
7.02,1,2.49961,7.59883
7.08,1,2.49963,7.59891
7.14,1,2.49966,7.59898
7.2,1,2.49968,7.59905
7.26,1,2.4997,7.59911
7.32,1,2.49972,7.59916
7.38,1,2.49974,7.59921
7.44,1,2.49975,7.59926
7.5,1,2.49977,7.59931
7.56,1,2.49978,7.59935
7.62,1,2.4998,7.59939
7.68,1,2.49981,7.59943
7.74,1,2.49982,7.59946
7.8,1,2.49983,7.59949
7.86,1,2.49984,7.59952
7.92,1,2.49985,7.59955
7.98,1,2.49986,7.59957
8.04,1,2.49986,7.59959
8.1,1,2.49987,7.59961
8.16,1,2.49988,7.59963
8.22,1,2.49988,7.59965
8.28,1,2.49989,7.59967
8.34,1,2.49989,7.59968
8.4,1,2.4999,7.5997
8.46,1,2.4999,7.59971
8.52,1,2.49991,7.59973
8.58,1,2.49991,7.59974
8.64,1,2.49992,7.59975
8.7,1,2.49992,7.59976
8.76,1,2.49992,7.59977
8.82,1,2.49992,7.59977
8.88,1,2.49993,7.59978
8.94,1,2.49993,7.59978
9,1,2.49993,7.59978
9.06,1,2.49993,7.59979
9.12,1,2.49993,7.59979
9.18,1,2.49993,7.59979
9.24,1,2.49993,7.59979
9.3,1,2.49993,7.59979
9.36,1,2.49993,7.59979
9.42,1,2.49993,7.59979
9.48,1,2.49993,7.59979
9.54,1,2.49993,7.59979
9.6,1,2.49993,7.59979
