Time,valveStuck.m_flow,valveStuck.dp,valveStuck.leakPosition,valveStuck.stuckPosition,valveStuck.valve.opening,valveStuck.cmd
0,0,0,0,1,1,1
0.5,0.260215,3039.75,0,1,1,1
1,0.367999,6079.5,0,1,1,1
1.5,0.450705,9119.25,0,1,1,1
2,0.520429,12159,0,1,1,1
2.5,0.581858,15198.8,0,1,1,1
3,0.637393,18238.5,0,1,1,1
3.5,0.688463,21278.2,0,1,1,1
4,0.735998,24318,0,1,1,1
4.5,0.780644,27357.8,0,1,1,1
5,0.822871,30397.5,0,1,1,1
5.5,0.863035,33437.2,0,1,1,1
6,0.90141,36477,0,1,1,1
6.5,0.938218,39516.8,0,1,1,1
7,0.973634,42556.5,0,1,1,1
7.5,1.00781,45596.2,0,1,1,1
8,1.04086,48636,0,1,1,1
8.5,1.07289,51675.8,0,1,1,1
9,1.104,54715.5,0,1,1,1
9.5,1.13425,57755.2,0,1,1,1
10,1.16372,60795,0,1,1,1
10.5,1.19245,63834.8,0,1,1,1
11,1.22052,66874.5,0,1,1,1
11.5,1.24795,69914.2,0,1,1,1
12,1.27479,72954,0,1,1,1
12.5,1.30107,75993.8,0,1,1,1
13,1.32684,79033.5,0,1,1,1
13.5,1.35212,82073.2,0,1,1,1
14,1.37693,85113,0,1,1,1
14.5,1.4013,88152.8,0,1,1,1
15,1.42525,91192.5,0,1,1,1
15.5,1.44881,94232.2,0,1,1,1
16,1.472,97272,0,1,1,1
16.5,1.49482,100312,0,1,1,1
17,1.5173,103352,0,1,1,1
17.5,1.53945,106391,0,1,1,1
18,1.56129,109431,0,1,1,1
18.5,1.58282,112471,0,1,1,1
19,1.60407,115510,0,1,1,1
19.5,1.62504,118550,0,1,1,1
20,1.64574,121590,0,1,1,1
20.5,1.66619,124630,0,1,1,1
21,1.68638,127670,0,1,1,1
21.5,1.70634,130709,0,1,1,1
22,1.72607,133749,0,1,1,1
22.5,1.74557,136789,0,1,1,1
23,1.76486,139828,0,1,1,1
23.5,1.78394,142868,0,1,1,1
24,1.80282,145908,0,1,1,1
24.5,1.8215,148948,0,1,1,1
25,1.84,151988,0,1,1,1
25.5,1.8583,155027,0,1,1,1
26,1.87644,158067,0,1,1,1
26.5,1.89439,161107,0,1,1,1
27,1.91218,164146,0,1,1,1
27.5,1.9298,167186,0,1,1,1
28,1.94727,170226,0,1,1,1
28.5,1.96458,173266,0,1,1,1
29,1.98174,176306,0,1,1,1
29.5,1.99875,179345,0,1,1,1
30,2.01561,182385,0,1,1,1
30.5,2.03234,185425,0,1,1,1
31,2.04893,188464,0,1,1,1
31.5,2.06539,191504,0,1,1,1
32,2.08172,194544,0,1,1,1
32.5,2.09792,197584,0,1,1,1
33,2.11399,200624,0,1,1,1
33.5,2.12995,203663,0,1,1,1
34,2.14579,206703,0,1,1,1
34.5,2.16151,209743,0,1,1,1
35,2.17711,212782,0,1,1,1
35.5,2.19261,215822,0,1,1,1
36,2.208,218862,0,1,1,1
36.5,2.22328,221902,0,1,1,1
37,2.23845,224942,0,1,1,1
37.5,2.25353,227981,0,1,1,1
38,2.2685,231021,0,1,1,1
38.5,2.28337,234061,0,1,1,1
39,2.29815,237100,0,1,1,1
39.5,2.31284,240140,0,1,1,1
40,2.32743,243180,0,1,1,1
40.5,2.34193,246220,0,1,1,1
41,2.35634,249260,0,1,1,1
41.5,2.37067,252299,0,1,1,1
42,2.38491,255339,0,1,1,1
42.5,2.39906,258379,0,1,1,1
43,2.41313,261418,0,1,1,1
43.5,2.42712,264458,0,1,1,1
44,2.44103,267498,0,1,1,1
44.5,2.45486,270538,0,1,1,1
45,2.46861,273578,0,1,1,1
45.5,2.48229,276617,0,1,1,1
46,2.49589,279657,0,1,1,1
46.5,2.50942,282697,0,1,1,1
47,2.52288,285736,0,1,1,1
47.5,2.53626,288776,0,1,1,1
48,2.54957,291816,0,1,1,1
48.5,2.56282,294856,0,1,1,1
49,2.57599,297896,0,1,1,1
49.5,2.5891,300935,0,1,1,1
50,2.60215,303975,0,1,1,1
50.5,2.60215,303975,0,1,1,1
51,2.60215,303975,0,1,1,1
51.5,2.60215,303975,0,1,1,1
52,2.60215,303975,0,1,1,1
52.5,2.60215,303975,0,1,1,1
53,2.60215,303975,0,1,1,1
53.5,2.60215,303975,0,1,1,1
54,2.60215,303975,0,1,1,1
54.5,2.60215,303975,0,1,1,1
55,2.60215,303975,0,1,1,1
55.5,2.60215,303975,0,1,1,1
56,2.60215,303975,0,1,1,1
56.5,2.60215,303975,0,1,1,1
57,2.60215,303975,0,1,1,1
57.5,2.60215,303975,0,1,1,1
58,2.60215,303975,0,1,1,1
58.5,2.60215,303975,0,1,1,1
59,2.60215,303975,0,1,1,1
59.5,2.60215,303975,0,1,1,1
60,2.60215,303975,0,1,1,1
60.5,2.60215,303975,0,1,1,1
61,2.60215,303975,0,1,1,1
61.5,2.60215,303975,0,1,1,1
62,2.60215,303975,0,1,1,1
62.5,2.60215,303975,0,1,1,1
63,2.60215,303975,0,1,1,1
63.5,2.60215,303975,0,1,1,1
64,2.60215,303975,0,1,1,1
64.5,2.60215,303975,0,1,1,1
65,2.60215,303975,0,1,1,1
65.5,2.60215,303975,0,1,1,1
66,2.60215,303975,0,1,1,1
66.5,2.60215,303975,0,1,1,1
67,2.60215,303975,0,1,1,1
67.5,2.60215,303975,0,1,1,1
68,2.60215,303975,0,1,1,1
68.5,2.60215,303975,0,1,1,1
69,2.60215,303975,0,1,1,1
69.5,2.60215,303975,0,1,1,1
69.9,2.60215,303975,0,1,1,1
70,2.60215,303975,0,1,1,1
70.5,2.59086,303975,0,1,0.985,0.985
71,2.54686,303975,0,1,0.97,0.97
71.5,2.48266,303975,0,1,0.955,0.955
72,2.41132,303975,0,1,0.94,0.94
72.5,2.33834,303975,0,1,0.925,0.925
73,2.26551,303975,0,1,0.91,0.91
73.5,2.19347,303975,0,1,0.895,0.895
74,2.12241,303975,0,1,0.88,0.88
74.5,2.05252,303975,0,1,0.865,0.865
75,1.98377,303975,0,1,0.85,0.85
75.5,1.91619,303975,0,1,0.835,0.835
76,1.84978,303975,0,1,0.82,0.82
76.5,1.78453,303975,0,1,0.805,0.805
77,1.72046,303975,0,1,0.79,0.79
77.5,1.65757,303975,0,1,0.775,0.775
78,1.59585,303975,0,1,0.76,0.76
78.5,1.5353,303975,0,1,0.745,0.745
79,1.47592,303975,0,1,0.73,0.73
79.5,1.41772,303975,0,1,0.715,0.715
79.9,1.36068,303975,0,1,0.7,0.7
80,1.36068,303975,0.2,1,0.7,0.7
80.5,1.30481,303975,0.2,1,0.685,0.685
81,1.25012,303975,0.2,1,0.67,0.67
81.5,1.1966,303975,0.2,1,0.655,0.655
82,1.14425,303975,0.2,1,0.64,0.64
82.5,1.09307,303975,0.2,1,0.625,0.625
83,1.04306,303975,0.2,1,0.61,0.61
83.5,0.994216,303975,0.2,1,0.595,0.595
84,0.946549,303975,0.2,1,0.58,0.58
84.5,0.900052,303975,0.2,1,0.565,0.565
85,0.854726,303975,0.2,1,0.55,0.55
85.5,0.810571,303975,0.2,1,0.535,0.535
86,0.767587,303975,0.2,1,0.52,0.52
86.5,0.725774,303975,0.2,1,0.505,0.505
87,0.685131,303975,0.2,1,0.49,0.49
87.5,0.64566,303975,0.2,1,0.475,0.475
88,0.60736,303975,0.2,1,0.46,0.46
88.5,0.570231,303975,0.2,1,0.445,0.445
89,0.534272,303975,0.2,1,0.43,0.43
89.5,0.499485,303975,0.2,1,0.415,0.415
90,0.465868,303975,0.2,1,0.4,0.4
90.5,0.433423,303975,0.2,1,0.385,0.385
91,0.402148,303975,0.2,1,0.37,0.37
91.5,0.372045,303975,0.2,1,0.355,0.355
92,0.343112,303975,0.2,1,0.34,0.34
92.5,0.31535,303975,0.2,1,0.325,0.325
93,0.28876,303975,0.2,1,0.31,0.31
93.5,0.26334,303975,0.2,1,0.295,0.295
94,0.239092,303975,0.2,1,0.28,0.28
94.5,0.216014,303975,0.2,1,0.265,0.265
95,0.194107,303975,0.2,1,0.25,0.25
95.5,0.173372,303975,0.2,1,0.235,0.235
96,0.153807,303975,0.2,1,0.22,0.22
96.5,0.135361,303975,0.2,1,0.204404,0.205
97,0.119174,303975,0.2,1,0.2,0.19
97.5,0.109938,303975,0.2,1,0.2,0.175
98,0.10617,303975,0.2,1,0.2,0.16
98.5,0.104811,303975,0.2,1,0.2,0.145
99,0.104314,303975,0.2,1,0.2,0.13
99.5,0.104147,303975,0.2,1,0.2,0.115
99.9,0.104099,303975,0.2,1,0.2,0.1
100,0.104099,303975,0.2,0.6,0.2,0.1
100.5,0.104089,303975,0.2,0.6,0.2,0.101
101,0.104086,303975,0.2,0.6,0.2,0.102
101.5,0.104084,303975,0.2,0.6,0.2,0.103
102,0.104084,303975,0.2,0.6,0.2,0.104
102.5,0.104085,303975,0.2,0.6,0.2,0.105
103,0.104085,303975,0.2,0.6,0.2,0.106
103.5,0.104085,303975,0.2,0.6,0.2,0.107
