Time,valveStuck.m_flow,valveStuck.m_flow_real,valveStuck.cmd,valveStuck.bias,valveStuck.lambda,valveStuck.dp,valveStuck.T_in,valveStuck.valve.opening
0,0.24,0,1,0.24,0.01,0,288.15,1
0.5,0.487594,0.260215,1,0.24,0.01,3039.75,288.3,1
1,0.590703,0.367999,1,0.24,0.01,6079.5,288.45,1
1.5,0.670198,0.450705,1,0.24,0.01,9119.25,288.6,1
2,0.737531,0.520429,1,0.24,0.01,12159,288.75,1
2.5,0.797129,0.581858,1,0.24,0.01,15198.8,288.9,1
3,0.85126,0.637393,1,0.24,0.01,18238.5,289.05,1
3.5,0.901269,0.688463,1,0.24,0.01,21278.2,289.2,1
4,0.94803,0.735998,1,0.24,0.01,24318,289.35,1
4.5,0.992151,0.780644,1,0.24,0.01,27357.8,289.5,1
5,1.03407,0.822871,1,0.24,0.01,30397.5,289.65,1
5.5,1.07412,0.863035,1,0.24,0.01,33437.2,289.8,1
6,1.11257,0.90141,1,0.24,0.01,36477,289.95,1
6.5,1.1496,0.938218,1,0.24,0.01,39516.8,290.1,1
7,1.1854,0.973634,1,0.24,0.01,42556.5,290.25,1
7.5,1.22009,1.00781,1,0.24,0.01,45596.2,290.4,1
8,1.2538,1.04086,1,0.24,0.01,48636,290.55,1
8.5,1.28661,1.07289,1,0.24,0.01,51675.8,290.7,1
9,1.31861,1.104,1,0.24,0.01,54715.5,290.85,1
9.5,1.34986,1.13425,1,0.24,0.01,57755.2,291,1
10,1.38044,1.16372,1,0.24,0.01,60795,291.15,1
10.5,1.41039,1.19245,1,0.24,0.01,63834.8,291.3,1
11,1.43977,1.22052,1,0.24,0.01,66874.5,291.45,1
11.5,1.4686,1.24795,1,0.24,0.01,69914.2,291.6,1
12,1.49694,1.27479,1,0.24,0.01,72954,291.75,1
12.5,1.52481,1.30107,1,0.24,0.01,75993.8,291.9,1
13,1.55224,1.32684,1,0.24,0.01,79033.5,292.05,1
13.5,1.57927,1.35212,1,0.24,0.01,82073.2,292.2,1
14,1.60591,1.37693,1,0.24,0.01,85113,292.35,1
14.5,1.63219,1.4013,1,0.24,0.01,88152.8,292.5,1
15,1.65813,1.42525,1,0.24,0.01,91192.5,292.65,1
15.5,1.68374,1.44881,1,0.24,0.01,94232.2,292.8,1
16,1.70905,1.472,1,0.24,0.01,97272,292.95,1
16.5,1.73407,1.49482,1,0.24,0.01,100312,293.1,1
17,1.75882,1.5173,1,0.24,0.01,103352,293.25,1
